Year,Country,AverageTemperature
1900,Afghanistan,13.74933333
1900,Africa,23.9915
1900,Albania,13.06858333
1900,Algeria,22.86416667
1900,American Samoa,26.2735
1900,Andorra,11.34833333
1900,Angola,21.78991667
1900,Anguilla,26.40675
1900,Antigua And Barbuda,26.22991667
1900,Argentina,14.80725
1900,Armenia,8.24375
1900,Aruba,28.02791667
1900,Asia,7.141
1900,Australia,21.76658333
1900,Austria,6.67025
1900,Azerbaijan,10.5825
1900,Bahamas,25.05741667
1900,Bahrain,25.89925
1900,Baker Island,25.2305
1900,Bangladesh,25.21908333
1900,Barbados,26.27916667
1900,Belarus,5.82
1900,Belgium,9.787333333
1900,Belize,24.54841667
1900,Benin,27.02975
1900,Bhutan,12.0165
1900,Bolivia,21.11325
1900,"Bonaire, Saint Eustatius And Saba",27.224
1900,Bosnia And Herzegovina,10.90975
1900,Botswana,22.02141667
1900,Brazil,24.90483333
1900,British Virgin Islands,26.11416667
1900,Bulgaria,10.96283333
1900,Burkina Faso,27.98075
1900,Burma,24.00191667
1900,Burundi,20.08075
1900,Cambodia,26.63125
1900,Cameroon,24.12333333
1900,Canada,-5.01875
1900,Cape Verde,24.05108333
1900,Cayman Islands,26.59175
1900,Central African Republic,25.05383333
1900,Chad,26.84783333
1900,Chile,9.305
1900,China,6.444166667
1900,Christmas Island,25.60816667
1900,Colombia,24.873
1900,Comoros,25.85208333
1900,Congo,24.28783333
1900,Congo (Democratic Republic Of The),23.69616667
1900,Costa Rica,25.41625
1900,Croatia,11.82691667
1900,Cuba,25.344
1900,Curaçao,27.45525
1900,Cyprus,19.02058333
1900,Czech Republic,7.9735
1900,Côte D'Ivoire,25.90025
1900,Denmark,-17.76741667
1900,Denmark (Europe),7.744
1900,Djibouti,28.54383333
1900,Dominica,25.90483333
1900,Dominican Republic,25.76008333
1900,Ecuador,21.90658333
1900,Egypt,22.79775
1900,El Salvador,24.65533333
1900,Equatorial Guinea,24.711
1900,Eritrea,26.43108333
1900,Estonia,4.23525
1900,Ethiopia,22.79366667
1900,Europe,7.797083333
1900,Falkland Islands (Islas Malvinas),5.78175
1900,Faroe Islands,6.432416667
1900,Fiji,24.41958333
1900,Finland,0.0005
1900,France,12.98733333
1900,France (Europe),10.67258333
1900,French Guiana,25.6825
1900,French Polynesia,25.66516667
1900,Gabon,24.06233333
1900,Gambia,27.46266667
1900,Gaza Strip,19.44075
1900,Georgia,7.865166667
1900,Germany,8.452083333
1900,Ghana,26.63333333
1900,Greece,15.10758333
1900,Greenland,-18.29233333
1900,Grenada,26.61625
1900,Guadeloupe,26.121
1900,Guatemala,22.86133333
1900,Guernsey,11.08341667
1900,Guinea,25.38025
1900,Guinea Bissau,26.68625
1900,Guyana,25.92666667
1900,Haiti,26.52116667
1900,Honduras,24.38358333
1900,Hong Kong,22.28508333
1900,Hungary,10.30625
1900,Iceland,1.364083333
1900,India,24.36783333
1900,Indonesia,25.73458333
1900,Iran,17.12166667
1900,Iraq,21.70516667
1900,Ireland,9.327166667
1900,Isle Of Man,9.418333333
1900,Israel,19.86033333
1900,Italy,12.998
1900,Jamaica,26.19991667
1900,Japan,11.47366667
1900,Jersey,11.08341667
1900,Jordan,19.5585
1900,Kazakhstan,4.4765
1900,Kenya,24.12983333
1900,Kingman Reef,26.99991667
1900,Kiribati,26.55841667
1900,Kuwait,25.097
1900,Kyrgyzstan,2.762
1900,Laos,23.50916667
1900,Latvia,4.9955
1900,Lebanon,17.87716667
1900,Lesotho,13.84333333
1900,Liberia,25.33308333
1900,Libya,22.17083333
1900,Liechtenstein,4.999833333
1900,Lithuania,5.847416667
1900,Luxembourg,9.486916667
1900,Macau,22.03791667
1900,Macedonia,10.87891667
