Entity,Code,Level,Deaths
Afghanistan,AFG,56.91080835,183.9413871
Angola,AGO,32.38850491,95.2199092
Albania,ALB,18.20060252,40.48112425
Andorra,AND,10.30762139,15.56947846
United Arab Emirates,ARE,40.91750982,77.84550799
Argentina,ARG,13.31183395,31.05788284
Armenia,ARM,32.52811834,64.81278003
American Samoa,ASM,12.47382024,58.93948537
Antigua and Barbuda,ATG,18.62234285,32.35337088
Australia,AUS,8.550324401,10.79595183
Austria,AUT,12.47796673,17.58634935
Azerbaijan,AZE,19.92866362,80.19455282
Burundi,BDI,38.89626795,142.7742077
Belgium,BEL,12.88651847,19.12751273
Benin,BEN,38.99995876,113.1595756
Burkina Faso,BFA,42.93559251,133.1826638
Bangladesh,BGD,60.84578458,108.5254782
Bulgaria,BGR,19.14913234,51.39213645
Bahrain,BHR,70.81620768,62.90044938
Bahamas,BHS,17.36772049,32.16057828
Bosnia and Herzegovina,BIH,27.74766896,58.07743401
Belarus,BLR,18.76557991,50.71194995
Belize,BLZ,23.01189211,44.21203868
Bermuda,BMU,11.64635919,17.6436257
Bolivia,BOL,21.5689866,53.87507204
Brazil,BRA,12.70662947,30.32107718
Barbados,BRB,23.0801758,35.06816141
Brunei,BRN,5.903065468,20.30087711
Bhutan,BTN,37.9265032,73.10805519
Botswana,BWA,23.09438618,69.80400608
Central African Republic,CAF,56.82849738,199.6509972
Canada,CAN,6.428383133,10.71661841
Switzerland,CHE,10.3031001,11.70517165
Chile,CHL,21.03629906,24.29921298
China,CHN,52.66459583,72.67678886
Cote d'Ivoire,CIV,25.88626634,118.8365594
Cameroon,CMR,72.79309622,113.9615145
Democratic Republic of Congo,COD,44.9092636,142.6803299
Congo,COG,46.63822028,113.0051803
Colombia,COL,16.52721022,22.09623922
Comoros,COM,20.5468246,93.98944769
Cape Verde,CPV,34.7787001,50.81777756
Costa Rica,CRI,15.7259203,21.21308224
Cuba,CUB,19.7060474,32.46048102
Cyprus,CYP,17.2944062,25.95910461
Czech Republic,CZE,16.07124535,30.15992328
Germany,DEU,12.02876736,19.82826478
Djibouti,DJI,45.5496176,80.6963249
Dominica,DMA,19.49315376,37.67525842
Denmark,DNK,10.02965344,19.32488726
Dominican Republic,DOM,13.72632115,36.97274516
Algeria,DZA,38.8840107,43.68351173
Ecuador,ECU,14.88610066,27.13524291
Egypt,EGY,86.99945205,113.3555118
Eritrea,ERI,48.03019868,132.7004743
Spain,ESP,9.697927863,14.48129276
Estonia,EST,6.732124015,15.65168687
Ethiopia,ETH,38.97873776,88.82900506
Finland,FIN,5.861331001,8.5074915
Fiji,FJI,10.8401599,100.5946678
France,FRA,11.81496362,11.81922211
Micronesia (country),FSM,11.28339944,90.16464758
Gabon,GAB,44.38554846,72.05364229
United Kingdom,GBR,10.47269039,17.78370015
Georgia,GEO,22.19605462,70.5119262
Ghana,GHA,34.7135141,105.4369339
Guinea,GIN,26.0624902,160.5037718
Gambia,GMB,33.98263855,134.3927706
Guinea-Bissau,GNB,29.77470228,161.798034
Equatorial Guinea,GNQ,53.24062104,78.35860985
Greece,GRC,16.21826638,25.72366268
Grenada,GRD,22.72268748,49.21216663
Greenland,GRL,11.60217946,32.67641335
Guatemala,GTM,24.07064893,65.97900026
Guam,GUM,11.63440681,44.24053103
Guyana,GUY,22.37557463,63.13106941
Honduras,HND,20.62885065,51.35947879
Croatia,HRV,17.90177229,33.55207459
Haiti,HTI,15.01982438,121.3638101
Hungary,HUN,15.92604819,39.20837155
Indonesia,IDN,16.5026533,66.18593255
India,IND,90.87321047,131.9940186
Ireland,IRL,8.208576735,14.66747096
Iran,IRN,38.97876028,46.15391907
Iraq,IRQ,61.63623571,42.67741934
Iceland,ISL,6.481147263,9.946781471
Israel,ISR,21.38110224,21.25797356
Italy,ITA,16.75071194,16.75889408
Jamaica,JAM,13.40415053,41.89005713
Jordan,JOR,33.00608118,39.44835404
Japan,JPN,11.70477819,11.38609245
Kazakhstan,KAZ,13.82428836,52.1217876
Kenya,KEN,28.57837427,90.34581977
Kyrgyzstan,KGZ,22.73776806,70.16414517
Cambodia,KHM,25.61429187,107.9794976
Kiribati,KIR,10.64085586,153.7402412
South Korea,KOR,25.03942539,21.69790199
Kuwait,KWT,60.74515954,34.7858006
Laos,LAO,25.10953834,119.6857083
Lebanon,LBN,30.62111051,49.84311848
Liberia,LBR,17.98411246,113.1579596
Libya,LBY,54.25468179,72.78869192
Saint Lucia,LCA,22.40081712,39.21108794
Sri Lanka,LKA,11.09961724,38.46263658
Lesotho,LSO,28.02865352,151.9508533
Lithuania,LTU,11.85328236,33.1730466
Luxembourg,LUX,10.3646374,15.97749926
Latvia,LVA,13.42645752,34.25710938
Morocco,MAR,32.59354146,67.26864668
Moldova,MDA,16.25103271,49.86823622
Madagascar,MDG,22.54228288,155.0695076
Maldives,MDV,7.795820799,21.43409424
Mexico,MEX,20.92111579,44.40708422
Marshall Islands,MHL,10.24133222,93.04476503
Macedonia,MKD,29.72694451,49.98650948
Mali,MLI,38.52660616,107.0754058
Malta,MLT,13.90954337,23.62493339
Myanmar,MMR,35.55745292,118.1052463
Montenegro,MNE,20.78181355,47.54888834
Mongolia,MNG,40.11284905,81.61391845
Northern Mariana Islands,MNP,9.892981129,37.64082826
Mozambique,MOZ,21.29869546,125.8563334
Mauritania,MRT,47.42299178,83.84267118
Mauritius,MUS,14.45782732,48.68229857
Malawi,MWI,23.56592147,104.9350842
Malaysia,MYS,16.03580871,50.44055047
Namibia,NAM,25.3587654,75.60720741
