Year,Value,type
1800,0,Gas (TWh)
1810,0,Gas (TWh)
1820,0,Gas (TWh)
1830,0,Gas (TWh)
1840,0,Gas (TWh)
1850,0,Gas (TWh)
1860,0,Gas (TWh)
1870,0,Gas (TWh)
1880,0,Gas (TWh)
1890,33,Gas (TWh)
1900,64,Gas (TWh)
1910,142,Gas (TWh)
1920,233,Gas (TWh)
1930,603,Gas (TWh)
1940,875,Gas (TWh)
1950,2092,Gas (TWh)
1960,4472,Gas (TWh)
1965,6303.798828,Gas (TWh)
1966,6868.794434,Gas (TWh)
1967,7374.039551,Gas (TWh)
1968,8044.331543,Gas (TWh)
1969,8833.417969,Gas (TWh)
1970,9614.791992,Gas (TWh)
1971,10293.2002,Gas (TWh)
1972,10861.72363,Gas (TWh)
1973,11377.83789,Gas (TWh)
1974,11659.86523,Gas (TWh)
1975,11659.74121,Gas (TWh)
1976,12354.14355,Gas (TWh)
1977,12759.84277,Gas (TWh)
1978,13293.95215,Gas (TWh)
1979,14118.03223,Gas (TWh)
1980,14236.96094,Gas (TWh)
1981,14395.87402,Gas (TWh)
1982,14469.73535,Gas (TWh)
1983,14703.83301,Gas (TWh)
1984,15902.68066,Gas (TWh)
1985,16262.22168,Gas (TWh)
1986,16421.11133,Gas (TWh)
1987,17281.89648,Gas (TWh)
1988,18088.8457,Gas (TWh)
1989,18867.30859,Gas (TWh)
1990,19481.125,Gas (TWh)
1991,19972.83984,Gas (TWh)
1992,20063.48438,Gas (TWh)
1993,20265.48438,Gas (TWh)
1994,20389.61523,Gas (TWh)
1995,21104.49414,Gas (TWh)
1996,22159.25586,Gas (TWh)
1997,22030.39258,Gas (TWh)
1998,22434,Gas (TWh)
1999,23071.9043,Gas (TWh)
2000,23994.25781,Gas (TWh)
2001,24316.83398,Gas (TWh)
2002,25030.14258,Gas (TWh)
2003,25729.58984,Gas (TWh)
2004,26721.10156,Gas (TWh)
2005,27438.03711,Gas (TWh)
2006,28161.10547,Gas (TWh)
2007,29315.39063,Gas (TWh)
2008,30021.31836,Gas (TWh)
2009,29401.19141,Gas (TWh)
2010,31588.86328,Gas (TWh)
2011,32340.17969,Gas (TWh)
2012,33194.03516,Gas (TWh)
2013,33729.72266,Gas (TWh)
2014,33944.27344,Gas (TWh)
2015,34768.67578,Gas (TWh)
2016,35560.77344,Gas (TWh)
2017,36529.22266,Gas (TWh)
2018,38356.30078,Gas (TWh)
2019,39062.94531,Gas (TWh)
2020,38455.72656,Gas (TWh)
2021,40374.60547,Gas (TWh)
1800,0,Oil (TWh)
1810,0,Oil (TWh)
1820,0,Oil (TWh)
1830,0,Oil (TWh)
1840,0,Oil (TWh)
1850,0,Oil (TWh)
1860,0,Oil (TWh)
1870,6,Oil (TWh)
1880,33,Oil (TWh)
1890,89,Oil (TWh)
1900,181,Oil (TWh)
1910,397,Oil (TWh)
1920,889,Oil (TWh)
1930,1756,Oil (TWh)
1940,2653,Oil (TWh)
1950,5444,Oil (TWh)
1960,11097,Oil (TWh)
1965,17989.60352,Oil (TWh)
1966,19341.14648,Oil (TWh)
1967,20732.13672,Oil (TWh)
1968,22488.33203,Oil (TWh)
1969,24353,Oil (TWh)
1970,26505.18359,Oil (TWh)
1971,27994.79688,Oil (TWh)
1972,30112.26367,Oil (TWh)
1973,32534.80664,Oil (TWh)
1974,32078.17969,Oil (TWh)
1975,31715.76953,Oil (TWh)
1976,33752.46484,Oil (TWh)
1977,34928.13672,Oil (TWh)
1978,36509.91797,Oil (TWh)
1979,37064.56641,Oil (TWh)
1980,35514.42188,Oil (TWh)
1981,34251.57031,Oil (TWh)
1982,33185.26953,Oil (TWh)
1983,32937.60547,Oil (TWh)
1984,33680.05469,Oil (TWh)
1985,33660.10156,Oil (TWh)
1986,34700.83594,Oil (TWh)
1987,35393.54297,Oil (TWh)
1988,36552.58984,Oil (TWh)
1989,37156.83594,Oil (TWh)
1990,37608.01953,Oil (TWh)
1991,37610.64063,Oil (TWh)
1992,38151.84766,Oil (TWh)
1993,37960.61328,Oil (TWh)
1994,38793.50781,Oil (TWh)
1995,39442.17578,Oil (TWh)
1996,40314.29688,Oil (TWh)
1997,41413.24609,Oil (TWh)
1998,41644.41406,Oil (TWh)
1999,42370.09375,Oil (TWh)
2000,42880.92578,Oil (TWh)
2001,43255.68359,Oil (TWh)
2002,43608.86328,Oil (TWh)
2003,44580.64844,Oil (TWh)
2004,46270.65625,Oil (TWh)
2005,46672.65625,Oil (TWh)
2006,47172.60938,Oil (TWh)
2007,47758.875,Oil (TWh)
2008,47338.6875,Oil (TWh)
2009,46371.56641,Oil (TWh)
2010,47895.07422,Oil (TWh)
2011,48307.65625,Oil (TWh)
2012,49010.70703,Oil (TWh)
2013,49520.15625,Oil (TWh)
2014,49832.44141,Oil (TWh)
2015,50796.26172,Oil (TWh)
2016,51760.77734,Oil (TWh)
2017,52515.54297,Oil (TWh)
2018,53250.62109,Oil (TWh)
2019,53368.62891,Oil (TWh)
2020,48380.71094,Oil (TWh)
2021,51170.47266,Oil (TWh)
1800,97,Coal (TWh)
1810,128,Coal (TWh)
1820,153,Coal (TWh)
1830,264,Coal (TWh)
1840,356,Coal (TWh)
1850,569,Coal (TWh)
1860,1061,Coal (TWh)
1870,1642,Coal (TWh)
1880,2542,Coal (TWh)
1890,3856,Coal (TWh)
1900,5728,Coal (TWh)
1910,8656,Coal (TWh)
1920,9833,Coal (TWh)
1930,10125,Coal (TWh)
1940,11586,Coal (TWh)
1950,12603,Coal (TWh)
1960,15442,Coal (TWh)
1965,16140.17871,Coal (TWh)
1966,16324.09375,Coal (TWh)
1967,16060.80957,Coal (TWh)
1968,16301.14648,Coal (TWh)
1969,16798.73633,Coal (TWh)
1970,17058.60742,Coal (TWh)
1971,16965.77734,Coal (TWh)
1972,17158.63672,Coal (TWh)
