,Iceberg,Length,Width,Latitude,Longitude,Remarks,Last_update,Area,Year
0,A23A,44.0,40.0,-75.79,-41.06,belle (grounded),8/16/2019,1760.0,2019.0
1,A63,11.0,3.0,-76.29,-46.76,belle (grounded),8/16/2019,33.0,2019.0
2,A64,16.0,11.0,-69.73,-60.98,belle (grounded),8/16/2019,176.0,2019.0
3,A68A,82.0,26.0,-65.22,-57.98,belle,8/16/2019,2132.0,2019.0
4,A68B,7.0,3.0,-64.63,-58.73,belle,8/16/2019,21.0,2019.0
5,B09B,27.0,9.0,-66.26,143.34,wilke,8/16/2019,243.0,2019.0
6,B09G,12.0,7.0,-67.96,41.71,amerw,8/16/2019,84.0,2019.0
7,B09I,12.0,6.0,-64.74,60.97,amere,8/16/2019,72.0,2019.0
8,B15AA,11.0,6.0,-60.6,-37.74,belle,8/16/2019,66.0,2019.0
9,B15AB,11.0,4.0,-66.01,51.13,amerw (grounded),8/16/2019,44.0,2019.0
10,B16,16.0,6.0,-58.71,-41.65,belle,8/16/2019,96.0,2019.0
11,B22A,44.0,24.0,-74.01,-109.21,amune (grounded),8/16/2019,1056.0,2019.0
12,B28,10.0,7.0,-74.7,-108.79,amune (grounded),8/16/2019,70.0,2019.0
13,B29,11.0,5.0,-74.53,-108.92,amune (grounded),8/16/2019,55.0,2019.0
14,B37,8.0,3.0,-73.09,-109.03,amune,8/16/2019,24.0,2019.0
15,B38,6.0,4.0,-76.99,-155.08,rosse,8/16/2019,24.0,2019.0
16,B39,8.0,4.0,-65.16,91.48,wilkw,8/16/2019,32.0,2019.0
17,B40,8.0,5.0,-65.64,132.19,wilke (grounded),8/16/2019,40.0,2019.0
18,B42,13.0,5.0,-73.03,-125.65,amunw (grounded),8/16/2019,65.0,2019.0
19,B43,10.0,5.0,-75.27,-166.43,rosse,8/16/2019,50.0,2019.0
20,B45,8.0,6.0,-74.7,-109.37,amune (grounded),8/16/2019,48.0,2019.0
21,B46,10.0,4.0,-74.33,-104.97,amune,8/16/2019,40.0,2019.0
22,C15,14.0,10.0,-66.08,143.41,wilke (grounded),8/16/2019,140.0,2019.0
23,C18B,20.0,4.0,-65.46,113.87,wilkw (grounded),8/16/2019,80.0,2019.0
24,C21B,12.0,8.0,-64.99,95.86,wilkw (grounded),8/16/2019,96.0,2019.0
25,C24,11.0,3.0,-64.84,96.03,wilkw (grounded),8/16/2019,33.0,2019.0
26,C29,5.0,5.0,-66.1,142.84,wilke (grounded),8/16/2019,25.0,2019.0
27,C30,9.0,3.0,-64.78,96.3,wilkw (grounded),8/16/2019,27.0,2019.0
28,C31,9.0,3.0,-64.69,96.52,wilkw (grounded),8/16/2019,27.0,2019.0
29,C33,8.0,4.0,-66.38,144.37,wilke,8/16/2019,32.0,2019.0
30,C34,11.0,5.0,-64.87,136.74,wilke,8/16/2019,55.0,2019.0
31,C35,12.0,5.0,-68.24,148.21,wilke (grounded),8/16/2019,60.0,2019.0
32,C36,23.0,16.0,-68.11,147.84,wilke (grounded),8/16/2019,368.0,2019.0
33,D15A,51.0,24.0,-66.64,81.91,amere (grounded),8/16/2019,1224.0,2019.0
34,D15B,33.0,12.0,-66.99,81.57,amere (grounded),8/16/2019,396.0,2019.0
35,D20A,20.0,9.0,-68.9,36.35,amerw (grounded),8/16/2019,180.0,2019.0
36,D21B,11.0,4.0,-77.51,-38.41,belle,8/16/2019,44.0,2019.0
37,D22,11.0,2.0,-66.56,78.84,amere,8/16/2019,22.0,2019.0
38,D23,8.0,6.0,-69.43,74.67,amere (grounded),8/16/2019,48.0,2019.0
39,D26,19.0,2.0,-69.41,29.33,wedde (grounded),8/16/2019,38.0,2019.0
40,D27,8.0,5.0,-67.27,81.87,amere (grounded),8/16/2019,40.0,2019.0
41,A23A,44.0,40.0,-75.79,-41.06,belle (grounded),8/23/2019,1760.0,2019.0
42,A63,11.0,3.0,-76.29,-46.76,belle (grounded),8/23/2019,33.0,2019.0
43,A64,16.0,11.0,-69.73,-60.98,belle (grounded),8/23/2019,176.0,2019.0
44,A68A,82.0,26.0,-65.16,-57.92,belle,8/23/2019,2132.0,2019.0
45,A68B,7.0,3.0,-64.63,-58.74,belle,8/23/2019,21.0,2019.0
46,B09B,27.0,9.0,-66.26,143.34,wilke,8/23/2019,243.0,2019.0
47,B09G,12.0,7.0,-67.96,41.71,amerw,8/23/2019,84.0,2019.0
48,B09I,12.0,6.0,-64.57,60.55,amere,8/23/2019,72.0,2019.0
49,B15AA,11.0,6.0,-60.16,-38.04,belle,8/23/2019,66.0,2019.0
50,B15AB,11.0,4.0,-66.01,51.13,amerw (grounded),8/23/2019,44.0,2019.0
51,B16,16.0,6.0,-58.27,-40.25,belle,8/23/2019,96.0,2019.0
52,B22A,44.0,24.0,-74.01,-109.21,amune (grounded),8/23/2019,1056.0,2019.0
53,B28,10.0,7.0,-74.7,-108.79,amune (grounded),8/23/2019,70.0,2019.0
54,B29,11.0,5.0,-74.53,-108.91,amune (grounded),8/23/2019,55.0,2019.0
55,B37,8.0,3.0,-73.15,-108.94,amune,8/23/2019,24.0,2019.0
56,B38,6.0,4.0,-76.99,-155.08,rosse,8/23/2019,24.0,2019.0
57,B39,8.0,4.0,-65.54,88.74,amere,8/23/2019,32.0,2019.0
58,B40,8.0,5.0,-65.64,132.19,wilke (grounded),8/23/2019,40.0,2019.0
59,B42,13.0,5.0,-73.03,-125.65,amunw (grounded),8/23/2019,65.0,2019.0
60,B43,10.0,5.0,-75.26,-167.54,rosse,8/23/2019,50.0,2019.0
61,B45,8.0,6.0,-74.7,-109.37,amune (grounded),8/23/2019,48.0,2019.0
62,B46,10.0,4.0,-74.33,-104.97,amune,8/23/2019,40.0,2019.0
63,C15,14.0,10.0,-66.08,143.41,wilke (grounded),8/23/2019,140.0,2019.0
64,C18B,20.0,4.0,-65.46,113.87,wilkw (grounded),8/23/2019,80.0,2019.0
65,C21B,12.0,8.0,-64.99,95.86,wilkw (grounded),8/23/2019,96.0,2019.0
66,C24,11.0,3.0,-64.84,96.03,wilkw (grounded),8/23/2019,33.0,2019.0
67,C29,5.0,5.0,-66.1,142.84,wilke (grounded),8/23/2019,25.0,2019.0
68,C30,9.0,3.0,-64.78,96.3,wilkw (grounded),8/23/2019,27.0,2019.0
69,C31,9.0,3.0,-64.69,96.52,wilkw (grounded),8/23/2019,27.0,2019.0
70,C33,8.0,4.0,-66.38,144.37,wilke,8/23/2019,32.0,2019.0
71,C34,11.0,5.0,-64.78,134.78,wilke,8/23/2019,55.0,2019.0
72,C35,12.0,5.0,-68.24,148.21,wilke (grounded),8/23/2019,60.0,2019.0
73,C36,23.0,16.0,-68.11,147.84,wilke (grounded),8/23/2019,368.0,2019.0
74,D15A,51.0,24.0,-66.65,81.92,amere (grounded),8/23/2019,1224.0,2019.0
