Year,Month,Extent
1978,10,10.402666666666667
1978,11,11.645133333333332
1978,12,13.6670625
1979,1,15.414
1979,2,16.175285714285714
1979,3,16.3419375
1979,4,15.4468
1979,5,13.856866666666667
1979,6,12.53
1979,7,10.31125
1979,8,8.041066666666667
1979,9,7.0511333333333335
1979,10,8.747937499999999
1979,11,10.943066666666668
1979,12,13.336266666666667
1980,1,14.861875
1980,2,15.955142857142857
1980,3,16.0413125
1980,4,15.429066666666667
1980,5,13.7926
1980,6,12.2046
1980,7,10.1000625
1980,8,7.984266666666667
1980,9,7.667066666666667
1980,10,9.18275
1980,11,11.382866666666667
1980,12,13.592933333333333
1981,1,14.9096875
1981,2,15.604071428571428
1981,3,15.631533333333334
1981,4,15.009933333333333
1981,5,13.801625
1981,6,12.429733333333333
1981,7,10.270999999999999
1981,8,7.8443125
1981,9,7.138466666666667
1981,10,8.856266666666667
1981,11,10.929
1981,12,13.341125
1982,1,15.176733333333335
1982,2,15.9735
1982,3,16.043875
1982,4,15.466000000000001
1982,5,13.9732
1982,6,12.476066666666666
1982,7,10.3670625
1982,8,8.139533333333334
1982,9,7.301733333333333
1982,10,9.4210625
1982,11,11.627466666666667
1982,12,13.6418
1983,1,14.9424375
1983,2,16.00614285714286
1983,3,16.085266666666666
1983,4,15.172066666666666
1983,5,13.4913125
1983,6,12.295666666666667
1983,7,10.570266666666667
1983,8,8.185875
1983,9,7.3946
1983,10,9.334066666666667
1983,11,11.461
1983,12,13.2984375
1984,1,14.473266666666666
1984,2,15.298933333333334
1984,3,15.584200000000001
1984,4,15.014466666666667
1984,5,13.5766875
1984,6,12.151666666666667
1984,7,9.977533333333334
1984,8,7.7710625
1984,9,6.8052
1984,10,8.560599999999999
1984,11,10.841533333333333
1984,12,12.9894375
1985,1,14.724866666666665
1985,2,15.465714285714286
1985,3,15.8859375
1985,4,15.356533333333335
1985,5,14.0734
1985,6,12.219066666666667
1985,7,9.7445625
1985,8,7.401866666666667
1985,9,6.697666666666667
1985,10,8.5459375
1985,11,11.024533333333332
1985,12,13.049933333333334
1986,1,14.889625
1986,2,15.784857142857144
1986,3,15.909466666666667
1986,4,15.0588
1986,5,13.3795625
1986,6,11.975933333333334
1986,7,10.146466666666667
1986,8,7.9795625
1986,9,7.410666666666667
1986,10,9.483933333333335
1986,11,11.453266666666668
1986,12,13.2224375
1987,1,14.9698
1987,2,16.050142857142855
1987,3,15.8159375
1987,4,15.210866666666668
1987,5,13.742933333333333
1987,6,12.485666666666667
1987,7,10.3325625
1987,8,7.499904761904761
1987,9,7.2787
1987,10,9.048774193548388
1987,11,11.224033333333333
1987,12,12.5405
1988,1,15.090473684210526
1988,2,15.583379310344828
1988,3,15.957225806451612
1988,4,15.123333333333333
1988,5,13.560870967741936
1988,6,11.943433333333333
1988,7,9.80867741935484
1988,8,7.891580645161291
1988,9,7.369
1988,10,9.135032258064516
1988,11,11.330833333333334
1988,12,13.625548387096774
1989,1,14.954806451612903
1989,2,15.495535714285714
1989,3,15.423290322580646
1989,4,14.328399999999998
1989,5,13.044129032258065
1989,6,12.244533333333333
1989,7,10.129709677419354
1989,8,7.881774193548387
1989,9,7.008333333333334
1989,10,8.828903225806453
1989,11,11.115233333333332
1989,12,13.386806451612904
1990,1,14.782612903225807
1990,2,15.578214285714285
1990,3,15.866741935483871
1990,4,14.650066666666667
1990,5,13.225838709677419
1990,6,11.640566666666667
1990,7,9.246612903225806
1990,8,6.797483870967742
1990,9,6.142799999999999
1990,10,8.484935483870968
1990,11,11.075199999999999
1990,12,13.105548387096773
1991,1,14.363806451612904
1991,2,15.249392857142857
1991,3,15.416129032258064
1991,4,14.859733333333333
1991,5,13.473129032258063
