Entity,Code,Deaths
Afghanistan,AFG,183.9413871
Angola,AGO,95.2199092
Albania,ALB,40.48112425
Andorra,AND,15.56947846
United Arab Emirates,ARE,77.84550799
Argentina,ARG,31.05788284
Armenia,ARM,64.81278003
American Samoa,ASM,58.93948537
Antigua and Barbuda,ATG,32.35337088
Australia,AUS,10.79595183
Austria,AUT,17.58634935
Azerbaijan,AZE,80.19455282
Burundi,BDI,142.7742077
Belgium,BEL,19.12751273
Benin,BEN,113.1595756
Burkina Faso,BFA,133.1826638
Bangladesh,BGD,108.5254782
Bulgaria,BGR,51.39213645
Bahrain,BHR,62.90044938
Bahamas,BHS,32.16057828
Bosnia and Herzegovina,BIH,58.07743401
Belarus,BLR,50.71194995
Belize,BLZ,44.21203868
Bermuda,BMU,17.6436257
Bolivia,BOL,53.87507204
Brazil,BRA,30.32107718
Barbados,BRB,35.06816141
Brunei,BRN,20.30087711
Bhutan,BTN,73.10805519
Botswana,BWA,69.80400608
Central African Republic,CAF,199.6509972
Canada,CAN,10.71661841
Switzerland,CHE,11.70517165
Chile,CHL,24.29921298
China,CHN,72.67678886
Cote d'Ivoire,CIV,118.8365594
Cameroon,CMR,113.9615145
Democratic Republic of Congo,COD,142.6803299
Congo,COG,113.0051803
Colombia,COL,22.09623922
Comoros,COM,93.98944769
Cape Verde,CPV,50.81777756
Costa Rica,CRI,21.21308224
Cuba,CUB,32.46048102
Cyprus,CYP,25.95910461
Czech Republic,CZE,30.15992328
Germany,DEU,19.82826478
Djibouti,DJI,80.6963249
Dominica,DMA,37.67525842
Denmark,DNK,19.32488726
Dominican Republic,DOM,36.97274516
Algeria,DZA,43.68351173
Ecuador,ECU,27.13524291
Egypt,EGY,113.3555118
Eritrea,ERI,132.7004743
Spain,ESP,14.48129276
Estonia,EST,15.65168687
Ethiopia,ETH,88.82900506
Finland,FIN,8.5074915
Fiji,FJI,100.5946678
France,FRA,11.81922211
Micronesia (country),FSM,90.16464758
Gabon,GAB,72.05364229
United Kingdom,GBR,17.78370015
Georgia,GEO,70.5119262
Ghana,GHA,105.4369339
Guinea,GIN,160.5037718
Gambia,GMB,134.3927706
Guinea-Bissau,GNB,161.798034
Equatorial Guinea,GNQ,78.35860985
Greece,GRC,25.72366268
Grenada,GRD,49.21216663
Greenland,GRL,32.67641335
Guatemala,GTM,65.97900026
Guam,GUM,44.24053103
Guyana,GUY,63.13106941
Honduras,HND,51.35947879
Croatia,HRV,33.55207459
Haiti,HTI,121.3638101
Hungary,HUN,39.20837155
Indonesia,IDN,66.18593255
India,IND,131.9940186
Ireland,IRL,14.66747096
Iran,IRN,46.15391907
Iraq,IRQ,42.67741934
Iceland,ISL,9.946781471
Israel,ISR,21.25797356
Italy,ITA,16.75889408
Jamaica,JAM,41.89005713
Jordan,JOR,39.44835404
Japan,JPN,11.38609245
Kazakhstan,KAZ,52.1217876
Kenya,KEN,90.34581977
Kyrgyzstan,KGZ,70.16414517
Cambodia,KHM,107.9794976
Kiribati,KIR,153.7402412
South Korea,KOR,21.69790199
Kuwait,KWT,34.7858006
Laos,LAO,119.6857083
Lebanon,LBN,49.84311848
Liberia,LBR,113.1579596
Libya,LBY,72.78869192
Saint Lucia,LCA,39.21108794
Sri Lanka,LKA,38.46263658
Lesotho,LSO,151.9508533
Lithuania,LTU,33.1730466
Luxembourg,LUX,15.97749926
Latvia,LVA,34.25710938
Morocco,MAR,67.26864668
Moldova,MDA,49.86823622
Madagascar,MDG,155.0695076
Maldives,MDV,21.43409424
Mexico,MEX,44.40708422
Marshall Islands,MHL,93.04476503
Macedonia,MKD,49.98650948
Mali,MLI,107.0754058
Malta,MLT,23.62493339
Myanmar,MMR,118.1052463
Montenegro,MNE,47.54888834
Mongolia,MNG,81.61391845
