Country,Year,Count
Aruba,2017,105366
Afghanistan,2017,36296400
Angola,2017,29816748
Albania,2017,2873457
Andorra,2017,77001
United Arab Emirates,2017,9487203
Argentina,2017,44044811
Armenia,2017,2944809
American Samoa,2017,55620
Antigua and Barbuda,2017,95426
Australia,2017,24601860
Austria,2017,8797566
Azerbaijan,2017,9854033
Burundi,2017,10827024
Belgium,2017,11375158
Benin,2017,11175204
Burkina Faso,2017,19193284
Bangladesh,2017,159670593
Bulgaria,2017,7075947
Bahrain,2017,1494074
"Bahamas, The",2017,381761
Bosnia and Herzegovina,2017,3351527
Belarus,2017,9498264
Belize,2017,375769
Bermuda,2017,63874
Bolivia,2017,11192854
Brazil,2017,207833831
Barbados,2017,286233
Brunei Darussalam,2017,424473
Bhutan,2017,745568
Botswana,2017,2205128
Central African Republic,2017,4596028
Canada,2017,36540268
Switzerland,2017,8451840
Channel Islands,2017,168665
Chile,2017,18470439
China,2017,1386395000
Cote d'Ivoire,2017,24437469
Cameroon,2017,24566045
"Congo, Dem. Rep.",2017,81398764
"Congo, Rep.",2017,5110702
Colombia,2017,48901066
Comoros,2017,813892
Cabo Verde,2017,537497
Costa Rica,2017,4949954
Caribbean small states,2017,7314990
Cuba,2017,11339259
Curacao,2017,160175
Cayman Islands,2017,63382
Cyprus,2017,1179680
Czech Republic,2017,10594438
Germany,2017,82657002
Djibouti,2017,944097
Dominica,2017,71458
Denmark,2017,5764980
Dominican Republic,2017,10513131
Algeria,2017,41389198
Ecuador,2017,16785361
"Egypt, Arab Rep.",2017,96442593
Spain,2017,46593236
Estonia,2017,1317384
Ethiopia,2017,106400024
Finland,2017,5508214
Fiji,2017,877459
France,2017,66865144
Faroe Islands,2017,48331
"Micronesia, Fed. Sts.",2017,111459
Gabon,2017,2064823
United Kingdom,2017,66058859
Georgia,2017,3728004
Ghana,2017,29121471
Gibraltar,2017,33728
Guinea,2017,12067539
"Gambia, The",2017,2213894
Guinea-Bissau,2017,1828146
Equatorial Guinea,2017,1262001
